## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT results/sorted/SRR2584866.sorted.bam --OUTPUT results/marked_duplicates/SRR2584866.markdup.bam --METRICS_FILE results/marked_duplicates/SRR2584866_metrics.txt --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Sep 18 07:14:53 BST 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	58	174938	1169	66	15	266	0	0.001563	57466679

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	174407	174407
2.0	1.99696	264	264
3.0	2.990891	1	1
4.0	3.9818	0	0
5.0	4.969697	0	0
6.0	5.954591	0	0
7.0	6.936492	0	0
8.0	7.915408	0	0
9.0	8.891349	0	0
10.0	9.864324	0	0
11.0	10.834341	0	0
12.0	11.801409	0	0
13.0	12.765539	0	0
14.0	13.726737	0	0
15.0	14.685014	0	0
16.0	15.640379	0	0
17.0	16.592839	0	0
18.0	17.542405	0	0
19.0	18.489084	0	0
20.0	19.432886	0	0
21.0	20.373819	0	0
22.0	21.311892	0	0
23.0	22.247114	0	0
24.0	23.179493	0	0
25.0	24.109038	0	0
26.0	25.035758	0	0
27.0	25.959661	0	0
28.0	26.880755	0	0
29.0	27.79905	0	0
30.0	28.714554	0	0
31.0	29.627275	0	0
32.0	30.537222	0	0
33.0	31.444403	0	0
34.0	32.348827	0	0
35.0	33.250501	0	0
36.0	34.149435	0	0
37.0	35.045637	0	0
38.0	35.939114	0	0
39.0	36.829876	0	0
40.0	37.71793	0	0
41.0	38.603285	0	0
42.0	39.485949	0	0
43.0	40.36593	0	0
44.0	41.243237	0	0
45.0	42.117876	0	0
46.0	42.989858	0	0
47.0	43.859188	0	0
48.0	44.725877	0	0
49.0	45.589931	0	0
50.0	46.451359	0	0
51.0	47.310168	0	0
52.0	48.166367	0	0
53.0	49.019964	0	0
54.0	49.870966	0	0
55.0	50.719382	0	0
56.0	51.565218	0	0
57.0	52.408484	0	0
58.0	53.249186	0	0
59.0	54.087334	0	0
60.0	54.922933	0	0
61.0	55.755993	0	0
62.0	56.586521	0	0
63.0	57.414524	0	0
64.0	58.240011	0	0
65.0	59.062988	0	0
66.0	59.883464	0	0
67.0	60.701446	0	0
68.0	61.516942	0	0
69.0	62.329959	0	0
70.0	63.140505	0	0
71.0	63.948587	0	0
72.0	64.754213	0	0
73.0	65.55739	0	0
74.0	66.358126	0	0
75.0	67.156428	0	0
76.0	67.952304	0	0
77.0	68.745761	0	0
78.0	69.536806	0	0
79.0	70.325446	0	0
80.0	71.111689	0	0
81.0	71.895543	0	0
82.0	72.677014	0	0
83.0	73.456109	0	0
84.0	74.232837	0	0
85.0	75.007204	0	0
86.0	75.779217	0	0
87.0	76.548883	0	0
88.0	77.31621	0	0
89.0	78.081205	0	0
90.0	78.843874	0	0
91.0	79.604225	0	0
92.0	80.362265	0	0
93.0	81.118002	0	0
94.0	81.87144	0	0
95.0	82.622589	0	0
96.0	83.371455	0	0
97.0	84.118045	0	0
98.0	84.862365	0	0
99.0	85.604423	0	0
100.0	86.344225	0	0

